Sl.No	Generic Name	Item Weight	Manufacturer	Product Title	Rating	Number of Ratings	Bought in Past Month	MRP	Discount	Final Price
28		0.5 g	Kundan Refinery Pvt Ltd	Kundan 0.5g Gold Coin 24k (999.9) : Amazon.in: Fashion	4.6 out of 5 stars	77	50+	₹4,999.00	-6%	4,699
29	Gold Foil Coin	0.2 g	Bangalore Refinery (P) Ltd.	Buy Bangalore Refinery 999 Purity 200mg Gold Foil Coins (Lord Ganesh) at Amazon.in	3.9 out of 5 stars	14		₹3,000.00	-32%	2,042
30	Gold Coin	2 g	KALYAN JEWELLERS	Buy Kalyan Jewellers 24K (999) Purity Lord Ganesh Gold Coin 2 Gms at Amazon.in				₹19,029.00	-9%	17,299
31	Gold Coin	2 g	P.C. Chandra Jewellers	P.C. Chandra Jewellers 24k (995) 2 gm Yellow Gold Coin : Amazon.in: Fashion	4.4 out of 5 stars	15		₹20,538.00	-14%	17,598
32	Joyalukkas George Head Design 22 K 1 g Yellow Gold Coin	1 g	Joyalukkas	Buy Joyalukkas George Head Design 22 K 1 g Yellow Gold Coin at Amazon.in	4.6 out of 5 stars	5		₹9,000.00	-10%	8,100
33	Gold Coin	1 g	Muthoot Pappachan	Muthoot Pappachan Swarnavarsham Hallmarked 22KT Rose Gold Coin 1 Gm : Amazon.in: Jewellery				₹9,598.00	-14%	8,239
34	FashionJewelry	2 g	Muthoot Pappachan	Buy Muthoot Pappachan Swarnavarsham Hallmarked 24KT 999 Gold Coin (2 Gm) at Amazon.in	4.5 out of 5 stars	67	50+	₹20,854.00	-16%	17,509
35	coin		No	PC Jeweller 24k (995) 2 gm Yellow Gold Coin : Amazon.in: Fashion	4.3 out of 5 stars	25		₹19,944.00	-8%	18,272
36	Gold Coin	1 g	Joyalukkas India LTD	Joyalukkas 1gm 22K (916) Yellow Gold Coin with Gaja Lakshmi Design : Amazon.in: Jewellery				₹9,000.00	-10%	8,100
37	Gold Coin	100 g	CGR Metalloys Pvt Ltd	CGR 24K (999) 0.1gm BIS Hallmarked Gold Coin : Amazon.in: Jewellery	4.4 out of 5 stars	30		₹1,700.00	-23%	1,307
38		1 g	P.N.Gadgil Jewelers	P.N.Gadgil Jewellers 24k (995) 1 gm Yellow Gold Coin : Amazon.in: Fashion	4.3 out of 5 stars	39		₹8,984.00	-2%	8,800
39		0.1 g	Waman Hari Pethe Jewellers Mumbai	Buy WHP Jewellers 24K (999) 50 mg Yellow Gold Coin at Amazon.in	3.5 out of 5 stars	10		₹2,199.00	-9%	1,999
40		1 g	Bhima Jewels	Bhima Jewels BIS Hallmark 22K Lakshmi Gold Coin 1 g : Amazon.in: Jewellery	4.0 out of 5 stars			₹9,500.00	-12%	8,407
41	Gold Coin	1 g	KALYAN JEWELLERS	Buy Kalyan Jewellers 24K (999) Purity Ayodhya Gold Coin 1 Gms at Amazon.in				₹9,679.00	-9%	8,799
42		196 g	Bhima Jewels	Buy Bhima Jewels 24K 999 Purity Flower Gold Coin Combo - 5g+1g at Amazon.in				₹55,072.00	-5%	52,478
43	Gold Coin	2 g	KALYAN JEWELLERS	Buy Kalyan Jewelers 2 grams 22K (916) Purity Gold Coins - BIS Hallmarked - Rose at Amazon.in	4.6 out of 5 stars	7		₹17,610.00	-9%	16,009
44		400 g	No	PC Jeweller 24k (995) Flower 1 gm Yellow Gold Coin : Amazon.in: Fashion	3.8 out of 5 stars	6		₹9,860.00	-8%	9,033
45		350 g	L D Sons Jewellers Pvt Ltd	Buy 24k Gold Coin, Fine Gold 24 (999) K 0.250 Grams Yellow Precious Gold Coin 24 (999) K Gold Coin at Amazon.in	1.0 out of 5 stars					2,599
46	Coin	0.3 g	P.C. Chandra Jewellers	Buy P.C Chandra Jewellers 24KT 999 Yellow Gold Kuber-Inscribed Foil Coin - 0.3 Gram at Amazon.in	5.0 out of 5 stars			₹4,232.00	-19%	3,443
47		196 g	Bhima Jewels	Buy Bhima Jewels 24K 999 Purity Lakshmi Gold Coin Combo (5g+1g) at Amazon.in				₹53,918.00	-3%	52,478
48		100 g		Buy Lagu Bandhu 1 Gram 24 KT (999) Laxmi Gold Coin at Amazon.in	5.0 out of 5 stars	2		₹8,900.00	-3%	8,626
49		1 g	JOS ALUKKAS	Jos Alukkas 22Kt (916) Head Pattern Gold Coin 1 Gm : Amazon.in: Jewellery	5.0 out of 5 stars			₹9,125.91	-10%	8,178
50			PC Jeweller	Buy PC Jeweller Floral 24k 995 K Gold Coin (0.5 gm) at Amazon.in	4.1 out of 5 stars	7		₹5,417.00	-8%	4,969
51		400 g	No	Sri Jagdamba Pearls 1 Gm, 24k (999) Yellow Gold Round Precious Coin : Amazon.in: Fashion	4.2 out of 5 stars	16				
52	Gold Coin	1 g	KALYAN JEWELLERS	Buy Kalyan Jewellers 24K (999) Purity Shree Ram Gold Coin 1 Gms at Amazon.in				₹9,679.00	-9%	8,799
53	Coin	0.05 g	P.C. Chandra Jewellers	Buy P.C Chandra Jewellers 24KT 999 Yellow Gold Laxmi Saraswati Ganesh-Inscribed Foil Coin - 0.05 Gram at Amazon.in	5.0 out of 5 stars	2		₹1,816.00	-26%	1,346
54		1 g	C.KRISHNIAH CHETTY JEWELLERS	C.Krishniah Chetty Goddess Lakshmi 22k (916) 1 Gm Gold Coin : Amazon.in: Fashion	4.6 out of 5 stars	31		₹8,200.00	-2%	8,020
55	FashionJewelry	0.5 g	Muthood PAPPACHAN	Buy Muthoot Pappachan Swarnavarsham Hallmarked 999 Gold Coin 0.5 Gm at Amazon.in	4.4 out of 5 stars	38		₹8,257.00	-42%	4,791
56		400 g		PC Jeweller 2 Gram 24K (995) Yellow Gold Floral Pattern Coin : Amazon.in: Fashion	4.0 out of 5 stars	2		₹19,944.00	-8%	18,272
57		400 g		PC Jeweller 2 Gram 24K (995) Yellow Gold Floral Pattern Coin : Amazon.in: Fashion	4.0 out of 5 stars	2		₹19,944.00	-8%	18,272
58	Coin	0.1 g	P.C. Chandra Jewellers	Buy P.C Chandra Jewellers 24KT 999 Yellow Gold Laxmi Saraswati Ganesh-Inscribed Foil Coin - 0.1 Gram at Amazon.in	1.0 out of 5 stars	2		₹2,300.00	-23%	1,766
59		1 g	JOS ALUKKAS	Jos Alukkas 22Kt (916) Head Pattern Gold Coin 1 Gm : Amazon.in: Jewellery	5.0 out of 5 stars			₹9,125.91	-10%	8,178
60		0.5 g	Kundan Refinery Pvt Ltd	Kundan 0.5g Gold Coin 24k (999.9) : Amazon.in: Fashion	4.6 out of 5 stars	77	50+	₹4,999.00	-6%	4,699
61	Gold Foil Coin	1 g	Bangalore Refinery (P) Ltd	Buy Bangalore Refinery 999 Purity 1 Gram Gold Foil Coin (3 in 1) at Amazon.in	2.0 out of 5 stars	2		₹9,500.00	-9%	8,654
62		1 g	BHIMA	Buy BHIMA Jewellery 1gram 22kt Lord Mother Mary Gold Coin at Amazon.in	4.8 out of 5 stars	9		₹9,001.00	-9%	8,232
63		1 g	BHIMA	Buy BHIMA Jewellery 1gram 22kt Lord Ganesha Gold Coin at Amazon.in	5.0 out of 5 stars	4		₹8,999.00	-9%	8,232
64		1 g		Bangalore Refinery 22kt BIS Hallmarked 1 Gram Lord Ganesh Gold Coin : Amazon.in: Jewellery	4.2 out of 5 stars	7		₹8,500.00	-3%	8,279
